,entity,to_search,snippet,address,coordinates,name_location,class,type
0,Windy City,Windy City,"['...Soprannominata ""Windy City"" e ""Second City"", il centro della città (denominato ""the Loop"") è dominato da imponenti grattacieli che arrivano anche ai 104 piani (per un\'altezza di ) della Willis Tower....', ""...In campo jazzistico, la Windy City ha mantenuto nel corso degli anni un ruolo di primo piano, dall'epoca d'oro dello swing e delle big band (tra cui quella del clarinettista Benny Goodman, la prima ad avere una composizione multirazziale) alle sperimentazioni del free jazz (Art Ensemble of Chicago)...."", '...La Windy City è stata inoltre pioniera assoluta nel campo delle lotte di genere:...']","Windy City Diamonds, 5, South Wabash Avenue, Printer's Row, Loop, Chicago, Cook County, Illinois, 60603, Stati Uniti d'America","{""coordinates"": [-87.625915, 41.881955], ""type"": ""Point""}","Windy City Diamonds, 5, South Wabash Avenue, Printer's Row, Loop, Chicago, Cook County, Illinois, 60603, Stati Uniti d'America",shop,jewelry
1,Willis Tower,Willis Tower,"['...Soprannominata ""Windy City"" e ""Second City"", il centro della città (denominato ""the Loop"") è dominato da imponenti grattacieli che arrivano anche ai 104 piani (per un\'altezza di ) della Willis Tower....', '*...Willis Tower ;...']","Willis Tower, 233, South Wacker Drive, Printer's Row, Loop, Chicago, Cook County, Illinois, 60606, Stati Uniti d'America","{""coordinates"": [-87.635908, 41.878872], ""type"": ""Point""}","Willis Tower, 233, South Wacker Drive, Printer's Row, Loop, Chicago, Cook County, Illinois, 60606, Stati Uniti d'America",building,commercial
4,Sauk,Sauk,"['*...La città può sperimentare ondate di freddo invernali estreme che possono perdurare per più giorni consecutivi\nA metà del XVII secolo, la zona dove ora sorge Chicago era abitata dalla tribù Potawatomi, che aveva preso il posto di due precedenti nazioni native, i Miami e i Sauk e Meskwaki....']","Sauk Trial Woods Grove 3, Thorn Creek Black Paved Loop, South Chicago Heights, Bloom Township, Cook County, Illinois, 60475, Stati Uniti d'America","{""coordinates"": [-87.651999, 41.490027], ""type"": ""Point""}","Sauk Trial Woods Grove 3, Thorn Creek Black Paved Loop, South Chicago Heights, Bloom Township, Cook County, Illinois, 60475, Stati Uniti d'America",tourism,picnic_site
6,Chicago River,Chicago River,"['*...Nel suo diario, Henry Joutel scrisse che nel settembre del 1687:«arrivati nel luogo chiamato Checagou, che da quanto sappiamo, prende il nome dalla grande quantità di porri selvatici che crescono nelle foreste di questa regione»Il primo abitante di Chicago non appartenente a tribù native fu Jean Baptiste Pointe du Sable, un haitiano di origini francesi, che si stabilì sul Chicago River intorno al 1770 e che sposò una donna Potawatomi ed è infatti conosciuto come il Fondatore di Chicago....']","McCormick Bridgehouse & Chicago River Museum, 376, North Michigan Avenue, Michigan Ave, Loop, Chicago, Cook County, Illinois, 60601, Stati Uniti d'America","{""coordinates"": [-87.624686, 41.888495], ""type"": ""Point""}","McCormick Bridgehouse & Chicago River Museum, 376, North Michigan Avenue, Michigan Ave, Loop, Chicago, Cook County, Illinois, 60601, Stati Uniti d'America",tourism,museum
7,Fort Dearborn,Fort Dearborn,['*...Fort Dearborn fu eretto nel 1803 ma fu distrutto durante la guerra del 1812 per poi essere ricostruito nel 1816 e definitivamente demolito nel 1871....'],"Site of Fort Dearborn, East Upper Wacker Drive, Loop, Chicago, Cook County, Illinois, 60602, Stati Uniti d'America","{""coordinates"": [-87.624867, 41.888436], ""type"": ""Point""}","Site of Fort Dearborn, East Upper Wacker Drive, Loop, Chicago, Cook County, Illinois, 60602, Stati Uniti d'America",historic,memorial
12,DeKoven Street,DeKoven Street,"[""*...Una leggenda metropolitana - poi smentita - vuole che ad appiccare il fuoco sia stata una lanterna rovesciata dal calcio di una mucca appartenente alle sorelle O'Leary, la cui stalla si trovava al 137 di DeKoven Street....""]","West DeKoven Street, Near West Side, Chicago, Cook County, Illinois, 60607, Stati Uniti d'America","{""coordinates"": [-87.640947, 41.869007], ""type"": ""Point""}","West DeKoven Street, Near West Side, Chicago, Cook County, Illinois, 60607, Stati Uniti d'America",highway,residential
13,Home Insurance Building,Home Insurance Building,"[""...Nella ricostruzione che seguì, venne costruito in città il primo grattacielo della storia, l'Home Insurance Building....""]","Home Insurance Building Site, 135, West Adams Street, Printer's Row, Loop, Chicago, Cook County, Illinois, 60603, Stati Uniti d'America","{""coordinates"": [-87.632096, 41.879516], ""type"": ""Point""}","Home Insurance Building Site, 135, West Adams Street, Printer's Row, Loop, Chicago, Cook County, Illinois, 60603, Stati Uniti d'America",historic,memorial
20,Jackson Park,Jackson Park,"[""*...Nel 1893, la città ha ospitato la Fiera Colombiana di Chicago sull'ex area paludosa nell'attuale sede di Jackson Park....""]","Jackson Park, South Stony Island Avenue, Hyde Park, Chicago, Hyde Park Township, Cook County, Illinois, 60649, Stati Uniti d'America","{""coordinates"": [-87.586794, 41.787028], ""type"": ""Point""}","Jackson Park, South Stony Island Avenue, Hyde Park, Chicago, Hyde Park Township, Cook County, Illinois, 60649, Stati Uniti d'America",tourism,information
21,South Side,South Side,"[""...L'Università di Chicago, precedentemente in un'altra sede, si trasferì nella stessa sede del South Side nel 1892....""]","South Side Elevated, East 21st Street, Near South Side, Chicago, Cook County, Illinois, 60616, Stati Uniti d'America","{""coordinates"": [-87.626127, 41.844525], ""type"": ""Point""}","South Side Elevated, East 21st Street, Near South Side, Chicago, Cook County, Illinois, 60616, Stati Uniti d'America",railway,subway
22,Midway Plaisance,Midway Plaisance,"['*...Il termine ""a metà Strada"" per una fiera o un carnevale si riferiva originariamente a Midway Plaisance, una striscia di terra del Parco che ancora attraversa l\'Università di Chicago e collega i parchi Washington e Jackson....']","Midway Plaisance, South Cottage Grove Avenue, Hyde Park, Chicago, Hyde Park Township, Cook County, Illinois, 60637, Stati Uniti d'America","{""coordinates"": [-87.605873, 41.786882], ""type"": ""Point""}","Midway Plaisance, South Cottage Grove Avenue, Hyde Park, Chicago, Hyde Park Township, Cook County, Illinois, 60637, Stati Uniti d'America",tourism,information
