,entity,to_search,snippet,address,coordinates,name_location,class,type
1,Irwell,Irwell,"['*...Quella che oggi è conosciuta come Inghilterra del nord, un tempo era occupata dalla tribù celtica dei Briganti, i quali avevano una roccaforte su di uno sperone di arenaria, di fronte alle rive del fiume Irwell, luogo che attualmente ospita la cattedrale di Manchester....', ""*...Con l'arrivo dei Sassoni il centro dell'insediamento si spostò nei pressi della confluenza dei fiumi Irwell ed Irk...."", '*...Salford Quays: vecchia area del porto fluviale sul fiume Irwell, oggi restaurata e ristrutturata come per i Docks londinesi ;...']","Irwell Street, St. Johns, City Centre, Manchester, Grande Manchester, Inghilterra, M60 9HL, Regno Unito","{""coordinates"": [-2.255828, 53.480568], ""type"": ""Point""}","Irwell Street, St. Johns, City Centre, Manchester, Grande Manchester, Inghilterra, M60 9HL, Regno Unito",highway,primary
3,Manchester Ship Canal,Manchester Ship Canal,"['*...Con la costruzione del Manchester Ship Canal, ultimato nel 1894, Manchester divenne il terzo porto commerciale inglese, nonostante si trovi a circa 60\xa0km dal mare....', '*...Il Porto di Manchester fu attivo dal 1894 fino al 1985 ed è collegato al mare dal Manchester Ship Canal....']","Manchester Ship Canal, Trafford Road, Ordsall, Salford, Grande Manchester, Inghilterra, M50 3XB, Regno Unito","{""coordinates"": [-2.282671, 53.471794], ""type"": ""Point""}","Manchester Ship Canal, Trafford Road, Ordsall, Salford, Grande Manchester, Inghilterra, M50 3XB, Regno Unito",historic,memorial
4,Market Street,Market Street,"[""*...Manchester fu sconvolta dall'esplosione di un camion-bomba dell'IRA, il 15 giugno 1996, che causò circa 200 feriti e la distruzione di notevoli edifici nell'area di Market Street....""]","Market Street, Central Retail District, City Centre, Manchester, Grande Manchester, Inghilterra, M4 3AD, Regno Unito","{""coordinates"": [-2.243506, 53.482965], ""type"": ""Point""}","Market Street, Central Retail District, City Centre, Manchester, Grande Manchester, Inghilterra, M4 3AD, Regno Unito",highway,pedestrian
5,Urbis,Urbis,"[""*...L'evento diede il via a una notevole azione di riqualificazione urbana nel centro della città, simboleggiata dalla costruzione del centro espositivo Urbis, progettato dall'architetto Ian Simpson e inaugurato nel 2002....""]","National Football Museum, Todd Street, Medieval Quarter, City Centre, Manchester, Grande Manchester, Inghilterra, M4 3BG, Regno Unito","{""coordinates"": [-2.242112, 53.485768], ""type"": ""Point""}","National Football Museum, Todd Street, Medieval Quarter, City Centre, Manchester, Grande Manchester, Inghilterra, M4 3BG, Regno Unito",tourism,museum
6,Manchester Arena,Manchester Arena,"['*...La sera del 22 maggio 2017 un attentato kamikaze ha avuto luogo alla Manchester Arena, al termine del concerto della cantante statunitense Ariana Grande....']","AO Arena, Hunts Bank, Medieval Quarter, City Centre, Manchester, Grande Manchester, Inghilterra, M3 1AR, Regno Unito","{""coordinates"": [-2.244172, 53.488087], ""type"": ""Point""}","AO Arena, Hunts Bank, Medieval Quarter, City Centre, Manchester, Grande Manchester, Inghilterra, M3 1AR, Regno Unito",tourism,attraction
8,Chorlton Park,Chorlton Park,['*...Chorlton Park ;...'],"Chorlton Park Primary School, Mauldeth Road West, Chorlton-cum-Hardy, Manchester, Grande Manchester, Inghilterra, M21 7SA, Regno Unito","{""coordinates"": [-2.270141, 53.433647], ""type"": ""Point""}","Chorlton Park Primary School, Mauldeth Road West, Chorlton-cum-Hardy, Manchester, Grande Manchester, Inghilterra, M21 7SA, Regno Unito",building,school
9,Higher Blackley,Higher Blackley,['*...Higher Blackley ;...'],"Higher Blackley, Victoria Avenue / opposite Plant Hill Road, Victoria Avenue, Boothroyden, Manchester, Grande Manchester, Inghilterra, M9 0FN, Regno Unito","{""coordinates"": [-2.220477, 53.534362], ""type"": ""Point""}","Higher Blackley, Victoria Avenue / opposite Plant Hill Road, Victoria Avenue, Boothroyden, Manchester, Grande Manchester, Inghilterra, M9 0FN, Regno Unito",highway,bus_stop
10,Whalley Range,Whalley Range,['*...Whalley Range ;...'],"Whalley Range, Upper Chorlton Road / opposite College Road, Upper Chorlton Road, Old Trafford, Trafford, Grande Manchester, Inghilterra, M16 7RG, Regno Unito","{""coordinates"": [-2.270148, 53.451645], ""type"": ""Point""}","Whalley Range, Upper Chorlton Road / opposite College Road, Upper Chorlton Road, Old Trafford, Trafford, Grande Manchester, Inghilterra, M16 7RG, Regno Unito",highway,bus_stop
11,Woodhouse Park,Woodhouse Park,['*...Woodhouse Park ....'],"Woodhouse Park, Portway / near Plowden Road, Portway, Newall Green, Wythenshawe, Manchester, Grande Manchester, Inghilterra, M22 1GS, Regno Unito","{""coordinates"": [-2.278643, 53.378169], ""type"": ""Point""}","Woodhouse Park, Portway / near Plowden Road, Portway, Newall Green, Wythenshawe, Manchester, Grande Manchester, Inghilterra, M22 1GS, Regno Unito",highway,bus_stop
12,Ringway,Ringway,"[""*...L'unica parrocchia civile del distretto è Ringway, all’estremità meridionale del territorio e a ridosso dell’Aeroporto di Manchester, la cui gestione è tuttavia al momento integralmente devoluta al Consiglio comunale di Manchester a causa dell'impossibilità di procedere a elezioni parrocchiali per carenza di candidati....""]","Manchester Airport, Cornishway, Woodhouse Park, Wythenshawe, Manchester, Grande Manchester, Inghilterra, M90 1QX, Regno Unito","{""coordinates"": [-2.280369, 53.350342], ""type"": ""Point""}","Manchester Airport, Cornishway, Woodhouse Park, Wythenshawe, Manchester, Grande Manchester, Inghilterra, M90 1QX, Regno Unito",aeroway,aerodrome
14,The Haçienda,The Haçienda,"['*...Questi ultimi gruppi furono raggruppati dai media nella dicitura ""scena Madchester"", incentrata sul noto locale notturno The Haçienda, fondato da Tony Wilson dell\'etichetta Factory Records....', '*...Molto famoso a cavallo degli anni ottanta e primi anni novanta, fu il club locale The Haçienda, dove si sono esibiti alcuni tra i più importanti artisti inglesi e internazionali del tempo (uno su tutti, i Joy Division, gruppo originario di Salford, comune a pochi km....']","The Haçienda, Whitworth Street West, Petersfield, City Centre, Manchester, Grande Manchester, Inghilterra, M1 5DB, Regno Unito","{""coordinates"": [-2.247823, 53.474319], ""type"": ""Point""}","The Haçienda, Whitworth Street West, Petersfield, City Centre, Manchester, Grande Manchester, Inghilterra, M1 5DB, Regno Unito",historic,building
15,Town Hall,Town Hall,['*...Town Hall: mirabile esempio di architettura neogotica vittoriana ;...'],"Manchester Town Hall, Albert Square, Civic Quarter, City Centre, Manchester, Grande Manchester, Inghilterra, M2 5DB, Regno Unito","{""coordinates"": [-2.244429, 53.479249], ""type"": ""Point""}","Manchester Town Hall, Albert Square, Civic Quarter, City Centre, Manchester, Grande Manchester, Inghilterra, M2 5DB, Regno Unito",amenity,townhall
18,Manchester Central Convention Complex,Manchester Central Convention Complex,"['*...Manchester Central Convention Complex: sede di conferenze e mostre, ex locale per concerti ed ex stazione ferroviaria ;...']","Manchester Central Convention Complex, Windmill Street, Petersfield, City Centre, Manchester, Grande Manchester, Inghilterra, M2 3GX, Regno Unito","{""coordinates"": [-2.247115, 53.476378], ""type"": ""Point""}","Manchester Central Convention Complex, Windmill Street, Petersfield, City Centre, Manchester, Grande Manchester, Inghilterra, M2 3GX, Regno Unito",amenity,conference_centre
19,Radcliffe Tower,Radcliffe Tower,"[""*...Radcliffe Tower: torre medievale nell'omonima cittadina vicino a Manchester ;...""]","Radcliffe Tower, Sandford Street, Irwell Bank, Radcliffe, Bury, Grande Manchester, Inghilterra, M26 2PT, Regno Unito","{""coordinates"": [-2.309763, 53.563798], ""type"": ""Point""}","Radcliffe Tower, Sandford Street, Irwell Bank, Radcliffe, Bury, Grande Manchester, Inghilterra, M26 2PT, Regno Unito",historic,ruins
20,Hulme Arch Bridge,Hulme Arch Bridge,['*...Hulme Arch Bridge: ponte stradale situato a Hulme ....'],"Hulme Arch Bridge, Stretford Road, Hulme, Manchester, Grande Manchester, Inghilterra, M15 6HE, Regno Unito","{""coordinates"": [-2.245358, 53.468099], ""type"": ""Point""}","Hulme Arch Bridge, Stretford Road, Hulme, Manchester, Grande Manchester, Inghilterra, M15 6HE, Regno Unito",bridge,yes
21,Motorway M56,Motorway M56,['*...Motorway M56: collega a Chester e alla Motorway M6 direzione sud ;...'],"Manchester - Preston Motorway, Horwich, Blackrod, Bolton, Grande Manchester, Inghilterra, BL6 5GU, Regno Unito","{""coordinates"": [-2.569831, 53.595501], ""type"": ""Point""}","Manchester - Preston Motorway, Horwich, Blackrod, Bolton, Grande Manchester, Inghilterra, BL6 5GU, Regno Unito",highway,motorway
22,Motorway M61,Motorway M61,['*...Motorway M61: collega a Preston e alla Motorway M6 direzione nord ;...'],"Manchester - Preston Motorway, Horwich, Blackrod, Bolton, Grande Manchester, Inghilterra, BL6 5GU, Regno Unito","{""coordinates"": [-2.569831, 53.595501], ""type"": ""Point""}","Manchester - Preston Motorway, Horwich, Blackrod, Bolton, Grande Manchester, Inghilterra, BL6 5GU, Regno Unito",highway,motorway
23,Motorway M62,Motorway M62,"['*...Motorway M62: collega a Liverpool e Leeds e alla Motorway M6 ;...', '*...Motorway M602: collega il centro di Manchester alla tangenziale M60 e la M62 ;...']","Manchester - Preston Motorway, Horwich, Blackrod, Bolton, Grande Manchester, Inghilterra, BL6 5GU, Regno Unito","{""coordinates"": [-2.569831, 53.595501], ""type"": ""Point""}","Manchester - Preston Motorway, Horwich, Blackrod, Bolton, Grande Manchester, Inghilterra, BL6 5GU, Regno Unito",highway,motorway
24,Motorway M66,Motorway M66,['*...Motorway M66: collega a Bury e il Lancashire ;...'],"Manchester - Preston Motorway, Horwich, Blackrod, Bolton, Grande Manchester, Inghilterra, BL6 5GU, Regno Unito","{""coordinates"": [-2.569831, 53.595501], ""type"": ""Point""}","Manchester - Preston Motorway, Horwich, Blackrod, Bolton, Grande Manchester, Inghilterra, BL6 5GU, Regno Unito",highway,motorway
25,Motorway M67,Motorway M67,['*...Motorway M67: collega a Hyde e il Peak District ;...'],"Manchester - Preston Motorway, Horwich, Blackrod, Bolton, Grande Manchester, Inghilterra, BL6 5GU, Regno Unito","{""coordinates"": [-2.569831, 53.595501], ""type"": ""Point""}","Manchester - Preston Motorway, Horwich, Blackrod, Bolton, Grande Manchester, Inghilterra, BL6 5GU, Regno Unito",highway,motorway
29,Manchester Piccadilly station,Manchester Piccadilly station,['*...Manchester Piccadilly station ;...'],"Manchester Piccadilly, Piccadilly Station, Piccadilly, City Centre, Manchester, Grande Manchester, Inghilterra, M1 2BN, Regno Unito","{""coordinates"": [-2.230833, 53.47742], ""type"": ""Point""}","Manchester Piccadilly, Piccadilly Station, Piccadilly, City Centre, Manchester, Grande Manchester, Inghilterra, M1 2BN, Regno Unito",building,train_station
30,Manchester Victoria Station,Manchester Victoria Station,['*...Manchester Victoria Station ;...'],"Hotel Indigo Manchester - Victoria Station, 6, Todd Street, Medieval Quarter, City Centre, Manchester, Grande Manchester, Inghilterra, M3 1WU, Regno Unito","{""coordinates"": [-2.241652, 53.486101], ""type"": ""Point""}","Hotel Indigo Manchester - Victoria Station, 6, Todd Street, Medieval Quarter, City Centre, Manchester, Grande Manchester, Inghilterra, M3 1WU, Regno Unito",tourism,hotel
34,Trafford Centre,Trafford Centre,"[""*...Per il 2020 è prevista l'apertura di una nuova linea, quella per Trafford Centre....""]","Trafford Centre, Manchester, Barton Dock Road, Dumplington, Urmston, Trafford, Grande Manchester, Inghilterra, M41 7GD, Regno Unito","{""coordinates"": [-2.34421, 53.464971], ""type"": ""Point""}","Trafford Centre, Manchester, Barton Dock Road, Dumplington, Urmston, Trafford, Grande Manchester, Inghilterra, M41 7GD, Regno Unito",amenity,charging_station
36,Salford Quays,Salford Quays,"['*...Salford Quays: vecchia area del porto fluviale sul fiume Irwell, oggi restaurata e ristrutturata come per i Docks londinesi ;...', ""*...La zona dell'ex porto Salford Quays è stata recentemente riconvertita a zona residenziale e ospita un Museo dedicato al maggiore pittore mancuniano del XX secolo,...""]","Salford Quays, Waterfront Quay, Ordsall, Salford, Grande Manchester, Inghilterra, M50 3WL, Regno Unito","{""coordinates"": [-2.283965, 53.470547], ""type"": ""Point""}","Salford Quays, Waterfront Quay, Ordsall, Salford, Grande Manchester, Inghilterra, M50 3WL, Regno Unito",railway,tram_stop
37,Old Trafford,Old Trafford,"['*...Old Trafford ;...', ""*...Il Manchester Utd, che gioca all'Old Trafford, e il Manchester City, che gioca all'Etihad Stadium (City of Manchester Stadium è la vecchia denominazione)...."", ""...L'Old Trafford, situato appena fuori dalla città, è il secondo campo da gioco più grande d'Inghilterra, dopo lo stadio di Wembley di Londra:...""]","Old Trafford, Chester Road / adjacent White City, Chester Road, Wharfside, Gorse Hill, Trafford, Grande Manchester, Inghilterra, M16 0SN, Regno Unito","{""coordinates"": [-2.284885, 53.462128], ""type"": ""Point""}","Old Trafford, Chester Road / adjacent White City, Chester Road, Wharfside, Gorse Hill, Trafford, Grande Manchester, Inghilterra, M16 0SN, Regno Unito",highway,bus_stop
38,Etihad Stadium,Etihad Stadium,"[""*...Il Manchester Utd, che gioca all'Old Trafford, e il Manchester City, che gioca all'Etihad Stadium (City of Manchester Stadium è la vecchia denominazione)....""]","Etihad Stadium, Joe Mercer Way, Bradford, Manchester, Grande Manchester, Inghilterra, M11 3FF, Regno Unito","{""coordinates"": [-2.200252, 53.483091], ""type"": ""Point""}","Etihad Stadium, Joe Mercer Way, Bradford, Manchester, Grande Manchester, Inghilterra, M11 3FF, Regno Unito",leisure,stadium
39,City of Manchester Stadium,City of Manchester Stadium,"[""*...Il Manchester Utd, che gioca all'Old Trafford, e il Manchester City, che gioca all'Etihad Stadium (City of Manchester Stadium è la vecchia denominazione)....""]","Etihad Stadium, Joe Mercer Way, Bradford, Manchester, Grande Manchester, Inghilterra, M11 3FF, Regno Unito","{""coordinates"": [-2.200252, 53.483091], ""type"": ""Point""}","Etihad Stadium, Joe Mercer Way, Bradford, Manchester, Grande Manchester, Inghilterra, M11 3FF, Regno Unito",leisure,stadium
40,Wembley,Wembley,"[""*...L'Old Trafford, situato appena fuori dalla città, è il secondo campo da gioco più grande d'Inghilterra, dopo lo stadio di Wembley di Londra:...""]","Wembley Grove, Fallowfield, Manchester, Grande Manchester, Inghilterra, M14 6EJ, Regno Unito","{""coordinates"": [-2.224244, 53.44129], ""type"": ""Point""}","Wembley Grove, Fallowfield, Manchester, Grande Manchester, Inghilterra, M14 6EJ, Regno Unito",highway,residential
