,entity,to_search,snippet,address,coordinates,name_location,class,type
2,Riga International Airport,Riga International Airport,"['*...The city is served by Riga International Airport, the largest and busiest airport in the Baltic states....', '...Riga has one active airport that serves commercial airlines—the Riga International Airport (RIX), built in 1973....', '*...The annual number of passengers has grown from 310,000 in 1993 to 4.7\xa0million in 2014, making Riga International Airport the largest in the Baltic States....']","Riga International Airport, Muzeju iela, Mārupes pagasts, Mārupes novads, Vidzeme, LV-1053, Latvia","{""coordinates"": [23.979113, 56.92316], ""type"": ""Point""}","Riga International Airport, Muzeju iela, Mārupes pagasts, Mārupes novads, Vidzeme, LV-1053, Latvia",aeroway,terminal
6,Baltics,Baltics,"['*...Riga employed German as its official language of administration until the installation of Russian in 1891 as the official language in the Baltic provinces, as part of the policy of Russification of the non-Russian-speaking territories of the Russian Empire, including Congress Poland, Finland and the Baltics, undertaken by Tsar Alexander III....', '*...(The mass deportation totalled 131,500 across the Baltics.)...', '*...Riga Port is one of the largest in the Baltics....']","KPMG Latvia, 1, Roberta Hirša iela, Skanste, Riga, Vidzeme, LV-1045, Latvia","{""coordinates"": [24.113354, 56.963355], ""type"": ""Point""}","KPMG Latvia, 1, Roberta Hirša iela, Skanste, Riga, Vidzeme, LV-1045, Latvia",office,accountant
11,Riga Port,Riga Port,['*...Riga Port is one of the largest in the Baltics....'],"Idea Port Riga, 91, Dārzciema iela, Dārzciems, Riga, Vidzeme, LV-1073, Latvia","{""coordinates"": [24.182765, 56.937948], ""type"": ""Point""}","Idea Port Riga, 91, Dārzciema iela, Dārzciems, Riga, Vidzeme, LV-1073, Latvia",office,company
13,Daugava Stadium,Daugava Stadium,"['*...FS Metta-LU – founded in 2006. Metta play their home games at Daugava Stadium....', '...Daugava Stadium – a stadium built in 1958, used for both football and athletics ;...']","Daugava Stadium, Kroņu iela, Purvciems, Riga, Vidzeme, LV-1012, Latvia","{""coordinates"": [24.157913, 56.955636], ""type"": ""Point""}","Daugava Stadium, Kroņu iela, Purvciems, Riga, Vidzeme, LV-1012, Latvia",leisure,stadium
14,Skonto Stadium,Skonto Stadium,"[""*...Skonto Stadium – a football stadium, built in 2000. It is the main stadium used for games of the Latvian national football team and the home stadium of Riga FC. The stadium was previously the home stadium of Skonto FC prior to the team's dissolution....""]","Skonto Stadium, Antonijas iela, Centre, Riga, Vidzeme, LV-1010, Latvia","{""coordinates"": [24.116215, 56.961263], ""type"": ""Point""}","Skonto Stadium, Antonijas iela, Centre, Riga, Vidzeme, LV-1010, Latvia",leisure,stadium
17,Stone Bridge,Stone Bridge,['...The Stone Bridge (Akmens tilts) connects Old Riga and Pārdaugava; the Island Bridge (Salu tilts) connects Maskavas Forštate and Pārdaugava via Zaķusala; and the Shroud Bridge (Vanšu tilts) connects Old Riga and Pārdaugava via Ķīpsala....'],"Stone Bridge, Uzvaras bulvāris, Āgenskalns, Riga, Vidzeme, LV-1048, Latvia","{""coordinates"": [24.100784, 56.944454], ""type"": ""Point""}","Stone Bridge, Uzvaras bulvāris, Āgenskalns, Riga, Vidzeme, LV-1048, Latvia",man_made,bridge
18,Island Bridge,Island Bridge,['...The Stone Bridge (Akmens tilts) connects Old Riga and Pārdaugava; the Island Bridge (Salu tilts) connects Maskavas Forštate and Pārdaugava via Zaķusala; and the Shroud Bridge (Vanšu tilts) connects Old Riga and Pārdaugava via Ķīpsala....'],"Island Bridge, Zaķusalas krastmala, Salas, Riga, Vidzeme, LV-1050, Latvia","{""coordinates"": [24.123985, 56.93524], ""type"": ""Point""}","Island Bridge, Zaķusalas krastmala, Salas, Riga, Vidzeme, LV-1050, Latvia",man_made,bridge
20,Southern Bridge,Southern Bridge,"['*...In 2008, the first stage of the new Southern Bridge (Dienvidu tilts) route across the Daugava was completed, and was opened to traffic on 17 November....', '...The Southern Bridge was the biggest construction project in the Baltic states in 20 years, and its purpose was to reduce traffic congestion in the city centre....']","Southern Bridge, Dienvidu tilts, Ķengarags, Riga, Vidzeme, LV-1019, Latvia","{""coordinates"": [24.157192, 56.915799], ""type"": ""Point""}","Southern Bridge, Dienvidu tilts, Ķengarags, Riga, Vidzeme, LV-1019, Latvia",man_made,bridge
23,Riga Central Station,Riga Central Station,['...The main railway station is the Riga Central Station....'],"Riga Central Station, 2, Stacijas laukums, Centre, Riga, Vidzeme, LV-1050, Latvia","{""coordinates"": [24.119723, 56.94682], ""type"": ""Point""}","Riga Central Station, 2, Stacijas laukums, Centre, Riga, Vidzeme, LV-1050, Latvia",building,train_station
24,Rail Baltica,Rail Baltica,"['*...A TEN-T project called Rail Baltica envisages building a high-speed railway line via Riga connecting Tallinn to Warsaw using standard gauge, expected to be put into operation in 2024....']","Rail Baltica, Gogoļa iela, Centre, Riga, Vidzeme, LV-1050, Latvia","{""coordinates"": [24.117282, 56.945822], ""type"": ""Point""}","Rail Baltica, Gogoļa iela, Centre, Riga, Vidzeme, LV-1050, Latvia",railway,construction
26,Jupiter,Jupiter,"['*...Karlis Kaufmanis (1910–2003), astronomer, he lectured that the Star of Bethlehem was a conjunction in 7 BC of the planets Jupiter and Saturn ;...']","Jupiter Tower, 7 k-1, Skanstes iela, Skanste, Riga, Vidzeme, LV-1013, Latvia","{""coordinates"": [24.118001, 56.965681], ""type"": ""Point""}","Jupiter Tower, 7 k-1, Skanstes iela, Skanste, Riga, Vidzeme, LV-1013, Latvia",building,office
