,entity,to_search,snippet,address,coordinates,name_location,class,type
0,Таллин,Таллин,"['*...Таллин, Tallin in russo;...']","Jamaica Baar, 15, Roosikrantsi, Tõnismäe, Kesklinna linnaosa, Tallinn, Harju maakond, 10119, Estonia","{""coordinates"": [24.744249, 59.431045], ""type"": ""Point""}","Jamaica Baar, 15, Roosikrantsi, Tõnismäe, Kesklinna linnaosa, Tallinn, Harju maakond, 10119, Estonia",amenity,bar
1,Revalia,Revalia,"[""*...Revalia in italiano storico) è la capitale dell'Estonia, nonché suo porto principale...."", '*...Nomi storici della città sono stati Koluvan, Lindanise, Lindanisa (Lindanäs), Reval, Revalia e Reveln....', '*...Tallinn (Reval in tedesco;...', '*...Dopo che i danesi lasciarono la città, molti Estoni continuarono a usare il nome di Tallinn quando quasi tutti gli altri residenti preferivano Reval....', ""*...Prima del 1918, la città aveva un nome tedesco, Reval, sostituito con Tallinna nell'anno in cui l'Estonia divenne indipendente dalla Russia...."", '*...Iniziò così la dominazione danese che vide la città, allora chiamata Reval, e il suo porto divenire ben presto un importante nodo commerciale verso la Russia....']","Revalia, 8, Raekoja plats, All-linn, Kesklinna linnaosa, Tallinn, Harju maakond, 10146, Estonia","{""coordinates"": [24.74475, 59.437641], ""type"": ""Point""}","Revalia, 8, Raekoja plats, All-linn, Kesklinna linnaosa, Tallinn, Harju maakond, 10146, Estonia",amenity,restaurant
3,Helsinki,Helsinki,"[""*...Situata sulla costa settentrionale del paese ed affacciata sul Mar Baltico, è divisa da 80 chilometri in linea d'aria di mare da Helsinki, quest'ultima situata più a nord...."", ""*...In linea d'aria il porto di Tallinn dista 80\xa0km dalla capitale finlandese Helsinki...."", '*...Il traffico di turisti tra Helsinki e Tallinn è consistente, incoraggiato dai prezzi più bassi rispetto al loro paese che i finlandesi possono trovare in Estonia....', '*...In aggiunta ai collegamenti aerei che avvengono regolarmente per diverse destinazioni europee, esisteva un servizio via elicottero, operato dalla Copterline, con frequenza oraria da Helsinki....', '*...Tallinn si trova sul percorso della via Baltica (Strada europea E67 con inizio a Helsinki e arrivo a Praga), che permette un facile transito per la Polonia....', '*...Vi è un progetto di realizzazione di un tunnel sotto il Golfo di Finlandia, che unirebbe Tallinn a Helsinki....', '*...Diverse decine di servizi di traghetto giornalieri, con tempo di percorrenza da 1,5 a 4 ore (a seconda del tipo di imbarcazione) collegano Tallinn a Helsinki in Finlandia....']","Lokaal Helsinki, 18, Viru, All-linn, Kesklinna linnaosa, Tallinn, Harju maakond, 10140, Estonia","{""coordinates"": [24.748947, 59.436604], ""type"": ""Point""}","Lokaal Helsinki, 18, Viru, All-linn, Kesklinna linnaosa, Tallinn, Harju maakond, 10140, Estonia",amenity,bar
6,Lindanise,Lindanise,"['*...Nomi storici della città sono stati Koluvan, Lindanise, Lindanisa (Lindanäs), Reval, Revalia e Reveln....']","Lindanise lahing, Lühike jalg, Vanalinn, Kesklinna linnaosa, Tallinn, Harju maakond, 10130, Estonia","{""coordinates"": [24.740949, 59.435448], ""type"": ""Point""}","Lindanise lahing, Lühike jalg, Vanalinn, Kesklinna linnaosa, Tallinn, Harju maakond, 10130, Estonia",historic,battlefield
9,Castrum Danorum,Castrum Danorum,"['*...I danesi infatti denominarono la città di Tallinn come Castrum Danorum, latinismo significante ""castello dei danesi""....']","Toompea loss, 1a, Lossi plats, Vanalinn, Kesklinna linnaosa, Tallinn, Harju maakond, 15165, Estonia","{""coordinates"": [24.737375, 59.435744], ""type"": ""Point""}","Toompea loss, 1a, Lossi plats, Vanalinn, Kesklinna linnaosa, Tallinn, Harju maakond, 15165, Estonia",historic,castle
11,Tallinna Lennujaam,Tallinna Lennujaam,"[""*...Così ad esempio Tallinna Lennujaam è l'Aeroporto di Tallinn...."", '*...Tallinna in finlandese;...', ""*...Prima del 1918, la città aveva un nome tedesco, Reval, sostituito con Tallinna nell'anno in cui l'Estonia divenne indipendente dalla Russia...."", '*...Nel 1925 Tallinna venne dichiarato ufficiale, ma presto gli Estoni cambiarono opinione e nel 1933 Tallinn divenne il nome finale per la capitale dello stato....', '*...Tallinna è, in estone, anche genitivo di Tallinn....']","Tallinna lennujaam, 101, Tartu mnt, Mõigu, Kesklinna linnaosa, Tallinn, Harju maakond, 10112, Estonia","{""coordinates"": [24.836839, 59.414388], ""type"": ""Point""}","Tallinna lennujaam, 101, Tartu mnt, Mõigu, Kesklinna linnaosa, Tallinn, Harju maakond, 10112, Estonia",aeroway,aerodrome
14,Pirita,Pirita,"[""*...L'unico fiume importante è il Pirita, scorre a nord, nel sobborgo di Pirita, e dal 1957 è zona protetta, stante il pregio naturalistico...."", ""*...In quella occasione vennero edificati vari edifici fra i quali l'hotel Olimpia, l'Ufficio Postale, il Pirita yachting centre e l'imponente torre della televisione....""]","Pirita, Merivälja tee, Pirita, Pirita linnaosa, Tallinn, Harju maakond, 11911, Estonia","{""coordinates"": [24.83261, 59.466742], ""type"": ""Point""}","Pirita, Merivälja tee, Pirita, Pirita linnaosa, Tallinn, Harju maakond, 11911, Estonia",highway,bus_stop
15,Lasnamäe,Lasnamäe,"['*...Una vena di calcare attraversa il territorio della città longitudinalmente ed emerge in varie località, come Lasnamäe e Toompea....']","Lasnamäe, Sikupilli, Lasnamäe linnaosa, Tallinn, Harju maakond, 10115, Estonia","{""coordinates"": [24.779407, 59.427115], ""type"": ""Point""}","Lasnamäe, Sikupilli, Lasnamäe linnaosa, Tallinn, Harju maakond, 10115, Estonia",highway,tertiary
16,Toompea,Toompea,"['*...Una vena di calcare attraversa il territorio della città longitudinalmente ed emerge in varie località, come Lasnamäe e Toompea....', ""...Toompea, una collina che si erge per 20-30 metri sul centro della città e che copre un'area di 400 per 250 metri, non è propriamente parte della vena, poiché leggermente separata, mentre il punto più alto di Tallinn (64 metri sul livello del mare), si trova nel distretto di Nõmme, nella zona sud occidentale della città...."", '...Toompea (Domberg) o ""Collina della Cattedrale"", col suo castello medievale da sempre sede dell\'autorità. Prima i vescovi, poi l\'Ordine teutonico, infine la nobiltà della Germania baltica; oggi si trovano sulla Collina gli edifici del governo estone, come molte ambasciate e rappresentanze diplomatiche....']","Toompea, Kesklinna linnaosa, Tallinn, Harju maakond, 15165, Estonia","{""coordinates"": [24.73886, 59.435483], ""type"": ""Point""}","Toompea, Kesklinna linnaosa, Tallinn, Harju maakond, 15165, Estonia",highway,living_street
17,Nõmme,Nõmme,"[""*...Toompea, una collina che si erge per 20-30 metri sul centro della città e che copre un'area di 400 per 250 metri, non è propriamente parte della vena, poiché leggermente separata, mentre il punto più alto di Tallinn (64 metri sul livello del mare), si trova nel distretto di Nõmme, nella zona sud occidentale della città...."", ""*...Nell'area cittadina, nel distretto amministrativo di Nõmme, ha sede il Kalju Nõmme, anch'esso militante nella massima divisione calcistica....""]","Nõmme, Turu plats, Nõmme, Nõmme linnaosa, Tallinn, Harju maakond, 13420, Estonia","{""coordinates"": [24.683345, 59.388801], ""type"": ""Point""}","Nõmme, Turu plats, Nõmme, Nõmme linnaosa, Tallinn, Harju maakond, 13420, Estonia",highway,bus_stop
