,entity,to_search,snippet,address,coordinates,name_location,class,type
0,Scandinavia,Scandinavia,"['*...Stockholm (Swedish:\xa0 ) is the capital and largest city of Sweden as well as the largest urban area in Scandinavia....', '*...Ranked as an alpha-global city, it is the largest in Scandinavia and the main centre for corporate headquarters in the Nordic region....', ""*...One of the city's most prized museums, the Vasa Museum, is the most visited non-art museum in Scandinavia...."", ""*...KTH Royal Institute of Technology (Swedish: Kungliga Tekniska högskolan) was founded in 1827 and is Scandinavia's largest higher education institute of technology with 13,000 students...."", '*...It is the largest Jewish community in Scandinavia....', '*...In the 2006 European Regional Growth Index (E-REGI), published by Jones Lang LaSalle, Stockholm was ranked fifth on the list of European cities with the strongest GDP growth forecast. Stockholm was ranked first in Scandinavia and second outside Central and Eastern Europe....']","Oriental Pacific Scandinavia AB, Rådmansgatan, Sabbatsberg, Vasastaden, Norrmalms stadsdelsområde, Stockholm, Stockholms kommun, Stockholm County, 111 24, Sweden","{""coordinates"": [18.05104, 59.338507], ""type"": ""Point""}","Oriental Pacific Scandinavia AB, Rådmansgatan, Sabbatsberg, Vasastaden, Norrmalms stadsdelsområde, Stockholm, Stockholms kommun, Stockholm County, 111 24, Sweden",office,travel_agent
2,Baltic Sea,Baltic Sea,"['...The city stretches across fourteen islands where Lake Mälaren flows into the Baltic Sea....', '...At the intersection of the Baltic Sea and lake Mälaren is an archipelago site where the Old Town of Stockholm was first built from about 1000 CE by Vikings....', ""...Stockholm is located on Sweden's east coast, where the freshwater Lake Mälaren\xa0— Sweden's third-largest lake\xa0— flows out into the Baltic Sea....""]","Baltic Sea, Kärleksudden, Ekvik, Södertälje kommun, Stockholm County, 153 91, Sweden","{""coordinates"": [17.621957, 59.044094], ""type"": ""Point""}","Baltic Sea, Kärleksudden, Ekvik, Södertälje kommun, Stockholm County, 153 91, Sweden",man_made,pier
4,Stockholm City Hall,Stockholm City Hall,"['*...It hosts the annual Nobel Prize ceremonies and banquet at the Stockholm Concert Hall and Stockholm City Hall....', '*...The Council convenes twice every month at Stockholm City Hall, and the meetings are open to the public....', '...A key landmark of Stockholm, the Stockholm City Hall, was erected 1911–1923 by architect Ragnar Östberg....', '*...The Nobel Banquet takes place at Stockholm City Hall every year on 10 December....']","Stockholm City Hall, Stadshusträdgården, Kungsholmen, Kungsholmens stadsdelsområde, Stockholm, Stockholms kommun, Stockholm County, 104 22, Sweden","{""coordinates"": [18.05422, 59.327503], ""type"": ""Point""}","Stockholm City Hall, Stadshusträdgården, Kungsholmen, Kungsholmens stadsdelsområde, Stockholm, Stockholms kommun, Stockholm County, 104 22, Sweden",amenity,townhall
5,Stockholm Palace,Stockholm Palace,"[""*...Stockholm Palace is the official residence and principal workplace of the Swedish monarch, while Drottningholm Palace in neighboring Ekerö serves as the Royal Family's private residence...."", '*...In 1697, Tre Kronor (castle) burned and was replaced by Stockholm Palace....', '*...After a fire in 1697 when the original medieval castle was destroyed, Stockholm Palace was erected in a baroque style....', '*...Livrustkammaren, the royal armoury, located at Stockholm Palace ;...']","Stockholm Palace, 1, Slottsbacken, Gamla stan, Södermalms stadsdelsområde, Stockholm, Stockholms kommun, Stockholm County, 111 29, Sweden","{""coordinates"": [18.070352, 59.326895], ""type"": ""Point""}","Stockholm Palace, 1, Slottsbacken, Gamla stan, Södermalms stadsdelsområde, Stockholm, Stockholms kommun, Stockholm County, 111 29, Sweden",tourism,attraction
8,Nynäshamn,Nynäshamn,"['*...South of Stockholm: Huddinge, Nacka, Botkyrka, Haninge, Tyresö, Värmdö, Södertälje, Salem, Nykvarn and Nynäshamn.\nStockholm Municipality is an administrative unit defined by geographical borders....']","Nynäshamn, Skytten Hälls väg, Nynäshamn, Nynäshamns kommun, Stockholm County, 149 30, Sweden","{""coordinates"": [17.956728, 58.906724], ""type"": ""Point""}","Nynäshamn, Skytten Hälls väg, Nynäshamn, Nynäshamns kommun, Stockholm County, 149 30, Sweden",amenity,ferry_terminal
11,Stockholm Observatory,Stockholm Observatory,"['...(City of Stockholm, 2011)\nResearch and higher education in the sciences started in Stockholm in the 18th century, with education in medicine and various research institutions such as the Stockholm Observatory....']","Observatory Museum, 120, Drottninggatan, Sibirien, Vasastaden, Norrmalms stadsdelsområde, Stockholm, Stockholms kommun, Stockholm County, 113 60, Sweden","{""coordinates"": [18.054717, 59.341524], ""type"": ""Point""}","Observatory Museum, 120, Drottninggatan, Sibirien, Vasastaden, Norrmalms stadsdelsområde, Stockholm, Stockholms kommun, Stockholm County, 113 60, Sweden",tourism,museum
12,Karlberg Palace,Karlberg Palace,"[""*...Military Academy Karlberg, the world's oldest military academy to remain in its original location, inaugurated in 1792 and housed in Karlberg Palace....""]","Karlberg Palace, Karlbergs slottsväg, Karlberg, Solna Kyrkby, Solna kommun, Stockholm County, 112 49, Sweden","{""coordinates"": [18.02334, 59.341059], ""type"": ""Point""}","Karlberg Palace, Karlbergs slottsväg, Karlberg, Solna Kyrkby, Solna kommun, Stockholm County, 112 49, Sweden",historic,castle
15,Tessin Palace,Tessin Palace,"['...Some notable buildings of Gamla Stan are the large German Church (Tyska kyrkan) and several mansions and palaces: the Riddarhuset (the House of Nobility), the Bonde Palace, the Tessin Palace and the Oxenstierna Palace....']","Tessin Palace, Finska Kyrkogränd, Gamla stan, Södermalms stadsdelsområde, Stockholm, Stockholms kommun, Stockholm County, 111 31, Sweden","{""coordinates"": [18.073188, 59.325633], ""type"": ""Point""}","Tessin Palace, Finska Kyrkogränd, Gamla stan, Södermalms stadsdelsområde, Stockholm, Stockholms kommun, Stockholm County, 111 31, Sweden",historic,castle
17,Vällingby,Vällingby,"['...Hässelby-Vällingby ;...', '*...The modernist developments of Vällingby and Farsta were internationally praised....']","Vällingby, Bräckefaret, Vällingby centrum, Vällingby, Hässelby-Vällingby stadsdelsområde, Stockholms kommun, Stockholm County, 162 13, Sweden","{""coordinates"": [17.872331, 59.363152], ""type"": ""Point""}","Vällingby, Bräckefaret, Vällingby centrum, Vällingby, Hässelby-Vällingby stadsdelsområde, Stockholms kommun, Stockholm County, 162 13, Sweden",railway,subway_entrance
18,Visby,Visby,"['...Stockholm developed strong economic and cultural linkages with Lübeck, Hamburg, Gdańsk, Visby, Reval, and Riga during this time....', ""*...Stockholm's architecture (along with Visby, Gotland) provided the inspiration for Japanese anime director Hayao Miyazaki as he sought to evoke an idealized city untouched by World War....""]","Nynäshamn - Visby, Lane 10, Nynäshamn, Nynäshamns kommun, Stockholm County, 149 30, Sweden","{""coordinates"": [17.955891, 58.903378], ""type"": ""Point""}","Nynäshamn - Visby, Lane 10, Nynäshamn, Nynäshamns kommun, Stockholm County, 149 30, Sweden",amenity,ferry_terminal
