,entity,to_search,snippet,address,coordinates,name_location,class,type
3,Bille,Bille,"[""*...Amburgo si trova nel punto in cui i fiumi Alster e Bille sfociano nell'Elba, che  più a nord-ovest sfocia a sua volta nel Mare del Nord....""]","Rudervereinigung Bille von 1896, Bei der Grünen Brücke, Rothenburgsort, Hamburg-Mitte, Amburgo, 20539, Germania","{""coordinates"": [10.043016, 53.543539], ""type"": ""Point""}","Rudervereinigung Bille von 1896, Bei der Grünen Brücke, Rothenburgsort, Hamburg-Mitte, Amburgo, 20539, Germania",leisure,sports_centre
7,Außenalster,Außenalster,"['*...Il lago Binnenalster (la parte di fiume che si trovava dentro le antiche mura della città), e il lago Außenalster (Alster esterno)....', '*...La maggior parte di essi attraversa i numerosissimi canali (chiamati Fleete) che si diramano dai laghi artificiali Außenalster e Binnenalster....', '*...Außenalster, un lago artificiale di 164 ettari alimentato dal fiume Alster;...']","Wasserrettungszentrum Außenalster, Harvestehuder Weg, Rotherbaum, Eimsbüttel, Amburgo, 20148, Germania","{""coordinates"": [10.001415, 53.567641], ""type"": ""Point""}","Wasserrettungszentrum Außenalster, Harvestehuder Weg, Rotherbaum, Eimsbüttel, Amburgo, 20148, Germania",emergency,lifeguard
22,Mariendom,Mariendom,"['*...La torre centrale con una croce identifica la cattedrale medievale dedicata alla patrona della città, il Mariendom....']","Am Mariendom, St. Georg, Hamburg-Mitte, Amburgo, 20099, Germania","{""coordinates"": [10.01382, 53.557295], ""type"": ""Point""}","Am Mariendom, St. Georg, Hamburg-Mitte, Amburgo, 20099, Germania",highway,service
23,Rathausmarkt,Rathausmarkt,['*...La grande piazza Rathausmarkt con il municipio (Hamburger Rathaus);...'],"Rathausmarkt, Altstadt, Hamburg-Mitte, Amburgo, 20095, Germania","{""coordinates"": [9.993983, 53.550845], ""type"": ""Point""}","Rathausmarkt, Altstadt, Hamburg-Mitte, Amburgo, 20095, Germania",highway,residential
25,St. Pauli-Landungsbrücken,St. Pauli-Landungsbrücken,"['*...Il porto (Hafen), con i St. Pauli-Landungsbrücken (pontili e imbarcaderi di San Paolo);...']","St. Pauli - Landungsbrücken, Bei den St. Pauli-Landungsbrücken, St. Pauli, Hamburg-Mitte, Amburgo, 20359, Germania","{""coordinates"": [9.970369, 53.545552], ""type"": ""Point""}","St. Pauli - Landungsbrücken, Bei den St. Pauli-Landungsbrücken, St. Pauli, Hamburg-Mitte, Amburgo, 20359, Germania",tourism,information
26,Speicherstadt,Speicherstadt,"['*...Speicherstadt, la ""città dei magazzini"";...']","Speicherstadt, Kehrwieder, Quartier Am Sandtorkai/Dalmannkai, HafenCity, Hamburg-Mitte, Amburgo, 20457, Germania","{""coordinates"": [9.986979, 53.544015], ""type"": ""Point""}","Speicherstadt, Kehrwieder, Quartier Am Sandtorkai/Dalmannkai, HafenCity, Hamburg-Mitte, Amburgo, 20457, Germania",tourism,attraction
27,St. Nikolai Kirche,St. Nikolai Kirche,['*...St. Nikolai Kirche (Chiesa di San Nicola);...'],"St. Nikolai-Kirche, 56, Moorfleeter Kirchenweg, Moorfleet, Bergedorf, Amburgo, 22113, Germania","{""coordinates"": [10.082467, 53.511467], ""type"": ""Point""}","St. Nikolai-Kirche, 56, Moorfleeter Kirchenweg, Moorfleet, Bergedorf, Amburgo, 22113, Germania",amenity,place_of_worship
32,St. Michaelis,St. Michaelis,['*...St. Michaelis (Chiesa di San Michele);...'],"Chiesa di San Michele, 1 A, Englische Planke, Neustadt, Hamburg-Mitte, Amburgo, 20459, Germania","{""coordinates"": [9.978889, 53.548428], ""type"": ""Point""}","Chiesa di San Michele, 1 A, Englische Planke, Neustadt, Hamburg-Mitte, Amburgo, 20459, Germania",amenity,place_of_worship
33,Chiesa di San Michele,Chiesa di San Michele,['*...St. Michaelis (Chiesa di San Michele);...'],"Chiesa di San Michele, 1 A, Englische Planke, Neustadt, Hamburg-Mitte, Amburgo, 20459, Germania","{""coordinates"": [9.978889, 53.548428], ""type"": ""Point""}","Chiesa di San Michele, 1 A, Englische Planke, Neustadt, Hamburg-Mitte, Amburgo, 20459, Germania",amenity,place_of_worship
36,Heiligengeistfeld,Heiligengeistfeld,['*...Heiligengeistfeld e la piazza Millerntor;...'],"Heiligengeistfeld, Simon-von-Utrecht-Straße, St. Pauli, Hamburg-Mitte, Amburgo, 20359, Germania","{""coordinates"": [9.970728, 53.554062], ""type"": ""Point""}","Heiligengeistfeld, Simon-von-Utrecht-Straße, St. Pauli, Hamburg-Mitte, Amburgo, 20359, Germania",amenity,events_venue
37,Millerntor,Millerntor,['*...Heiligengeistfeld e la piazza Millerntor;...'],"Millerntor, Millerntorplatz, Neustadt, Hamburg-Mitte, Amburgo, Germania","{""coordinates"": [9.97046, 53.550938], ""type"": ""Point""}","Millerntor, Millerntorplatz, Neustadt, Hamburg-Mitte, Amburgo, Germania",amenity,toilets
38,Spielbudenplatz,Spielbudenplatz,"['*...La piazza Spielbudenplatz, con il St. Pauli-Theater;...']","Spielbudenplatz, St. Pauli, Hamburg-Mitte, Amburgo, 20359, Germania","{""coordinates"": [9.9668, 53.549713], ""type"": ""Point""}","Spielbudenplatz, St. Pauli, Hamburg-Mitte, Amburgo, 20359, Germania",amenity,parking_entrance
39,St. Pauli-Theater,St. Pauli-Theater,"['...La piazza Spielbudenplatz, con il St. Pauli-Theater;...']","St. Pauli Theater, 29-30, Spielbudenplatz, St. Pauli, Hamburg-Mitte, Amburgo, 20359, Germania","{""coordinates"": [9.962988, 53.549101], ""type"": ""Point""}","St. Pauli Theater, 29-30, Spielbudenplatz, St. Pauli, Hamburg-Mitte, Amburgo, 20359, Germania",amenity,theatre
40,Jungfernstieg,Jungfernstieg,"['...La Jungfernstieg, celebre via per lo shopping, con molti negozi ""alla moda"";...']","Jungfernstieg, Altstadt, Hamburg-Mitte, Amburgo, 20095, Germania","{""coordinates"": [9.994349, 53.552164], ""type"": ""Point""}","Jungfernstieg, Altstadt, Hamburg-Mitte, Amburgo, 20095, Germania",highway,residential
41,Elbchaussee,Elbchaussee,"[""...La Elbchaussee, la più lunga Strada di Amburgo (8,6\xa0km), che segue il corso dell'Elba;...""]","Elbchaussee, Ottensen, Altona, Amburgo, 22765, Germania","{""coordinates"": [9.929013, 53.546378], ""type"": ""Point""}","Elbchaussee, Ottensen, Altona, Amburgo, 22765, Germania",highway,secondary
49,Elbphilharmonie,Elbphilharmonie,"['*...La sala concerti Elbphilharmonie, nel quartiere HafenCity....', ""*...La nuova Elbphilharmonie è la sala da concerto dell'Orchestra sinfonica della NDR, mentre i Symphoniker si esibiscono nella vecchia Musikhalle, oggi chiamata Laeiszhalle....""]","Elbphilharmonie, Quartier Am Sandtorkai/Dalmannkai, HafenCity, Hamburg-Mitte, Amburgo, Germania","{""coordinates"": [9.986734, 53.540252], ""type"": ""Point""}","Elbphilharmonie, Quartier Am Sandtorkai/Dalmannkai, HafenCity, Hamburg-Mitte, Amburgo, Germania",highway,footway
50,HafenCity,HafenCity,"['*...La sala concerti Elbphilharmonie, nel quartiere HafenCity....', '*...Il nuovo quartiere HafenCity con la sua architettura moderna....', ""...Vi sono poi il Politecnico di Amburgo, la HSBA Hamburg School of Business Administration, la Scuola superiore di musica e Teatro, la Scuola superiore di scienze applicate, l'Università HafenCity, la Scuola superiore di diritto Bucerius, l'Università Helmut Schmidt (appartenente al Ministero della Difesa)....""]","ASTOR Film Lounge HafenCity, 46a, Am Sandtorkai, Quartier Am Sandtorpark/Grasbrook, HafenCity, Hamburg-Mitte, Amburgo, 20457, Germania","{""coordinates"": [9.995481, 53.543337], ""type"": ""Point""}","ASTOR Film Lounge HafenCity, 46a, Am Sandtorkai, Quartier Am Sandtorpark/Grasbrook, HafenCity, Hamburg-Mitte, Amburgo, 20457, Germania",amenity,cinema
52,Centro islamico,Centro islamico,"[""...Al 2021 c'erano più di 50 moschee in città, tra cui la moschea Fazle Omar, gestita dalla Ahmadiyya, che è la più antica della città, e ospita il Centro islamico di Amburgo....""]","Imam-Ali-Moschee, 36, Schöne Aussicht, Uhlenhorst, Hamburg-Nord, Amburgo, 22085, Germania","{""coordinates"": [10.008578, 53.574671], ""type"": ""Point""}","Imam-Ali-Moschee, 36, Schöne Aussicht, Uhlenhorst, Hamburg-Nord, Amburgo, 22085, Germania",amenity,place_of_worship
